smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,535435329.556,7778124.56409,535166948.738,544591164.362,522748298.408,524992651.096,544445430.505,10.0,60499221734500.0,0.125226860254,0.124999315018,26,0.00391360050885,0.250018051845,2.4762864257000002e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,424286325.026,14063925.5586,425070889.455,450245510.911,405336112.071,406776833.933,444247834.928,10.0,197794002119000.0,0.249546279492,0.124999315018,53,0.00779884159372,0.250018051845,2.4762864257000002e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,414698278.014,982819.071543,414722700.855,415898043.624,412743031.616,413314500.695,415876443.741,10.0,965933327389.0,0.125226860254,0.249999574839,6,0.00391305015624,0.124990974078,2.4762864257000002e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,261921388.852,12538373.578,265445884.403,282459790.465,239181965.845,244334785.536,277537383.029,10.0,157210811981000.0,0.249546279492,0.124999315018,52,0.00779884159372,0.250018051845,2.4762864257000002e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,141140936.118,29745264.82,153070643.47,170751891.091,82213540.1504,86343575.6816,166635193.659,10.0,884780779214000.0,0.250453720508,0.124999315018,79,0.00782607073597,0.249981948155,2.4762864257000002e-14
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,136636917.267,7450672.64722,136665891.719,148522877.96,122053313.692,125951408.026,146661674.543,10.0,55512522896000.0,0.249546279492,0.249999574839,32,0.0155977421347,0.250018051845,2.4762864257000002e-14
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,93951334.6035,10625456.1241,90957012.915,111860337.714,78509364.1065,82001169.4143,109523185.808,10.0,112900317845000.0,0.125226860254,0.124999315018,51,0.00391360050885,0.250018051845,2.4762864257000002e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,47118582.1871,10039324.2871,45679799.8143,63611996.9426,35502685.1146,36046820.2991,60873437.2311,10.0,100788032142000.0,0.125226860254,0.249999574839,31,0.00782723059849,0.250018051845,2.4762864257000002e-14
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-26535345.8168,26421980.4534,-19834391.4366,4837269.60544,-84512232.3636,-72853433.9947,-681689.741588,10.0,698121051081000.0,0.249546279492,0.124999315018,78,0.00779771540721,0.249981948155,2.4762864257000002e-14
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-97057611.8726,30982876.4587,-95771002.7169,-63653152.9844,-146152006.955,-142904198.816,-64125915.9491,10.0,959938633653000.0,0.125226860254,0.124999315018,105,0.00195651768399,0.124990974078,2.4762864257000002e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-145992954.96,18378163.0708,-143440403.089,-123248851.466,-176486960.425,-172271580.993,-124483208.187,10.0,337756877858000.0,0.249546279492,0.249999574839,58,0.0155977421347,0.250018051845,2.4762864257000002e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-152216451.797,2066133.11972,-151254524.167,-150192928.428,-155817336.662,-155444131.21,-150309701.091,10.0,4268906068390.0,0.125226860254,0.250000519641,11,0.0039130649445,0.124990974078,2.4762864257000002e-14
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-173222194.211,20050228.6213,-172096000.394,-139214720.984,-204436779.369,-198851858.059,-141454536.68,10.0,402011667767000.0,0.249546279492,0.124999315018,77,0.00779771540721,0.249981948155,2.4762864257000002e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-239842501.426,15532329.2094,-240271078.567,-215630614.576,-259951796.885,-259555803.882,-218348430.387,10.0,241253250670000.0,0.249546279492,0.249999574839,57,0.0155977421347,0.250018051845,2.4762864257000002e-14
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-285570576.3,31154844.7749,-293505266.364,-205649621.393,-316805667.559,-312823587.622,-234116888.79,10.0,970624352951000.0,0.250453720508,0.124999315018,104,0.00391303536798,0.124990974078,2.4762864257000002e-14
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-334752826.329,19730027.2139,-336212247.539,-297351002.027,-356442688.797,-355473438.573,-304637039.473,10.0,389273973860000.0,0.125226860254,0.124999315018,76,0.00391303536798,0.249981948155,2.4762864257000002e-14
