smr_capacity,electricity_market_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-smr_capacity,PointProbability,prefix,ProbabilityWeight
1200.0,-1e+200,ref,braidwood,illinois,covid,133196395.815,7974256.38669,131243119.137,148751629.595,124337003.762,124608137.381,146334950.296,10.0,63588764920700.0,0.125,0.00104166666667,5,0.125
960.0,-1e+200,ref,braidwood,illinois,covid,113500675.231,7068636.47903,114445313.952,122357063.081,100881956.963,103358872.973,122086478.675,10.0,49965621672600.0,0.25,0.00104166666667,4,0.25
720.0,-1e+200,ref,braidwood,illinois,covid,81089927.6373,6735653.06907,82163674.3569,92653209.9337,69656755.5346,71571769.635,89600818.5397,10.0,45369022266900.0,0.25,0.00104166666667,3,0.25
480.0,-1e+200,ref,braidwood,illinois,covid,57076534.1412,4681200.46397,58096927.6163,62946376.0784,48724906.0588,49922940.5442,62287665.4548,10.0,21913637783900.0,0.25,0.00104166666667,2,0.25
240.0,-1e+200,ref,braidwood,illinois,covid,27179318.1566,2039533.05682,27845617.01,30514375.6821,24230142.1365,24538829.0018,29727322.996,10.0,4159695089850.0,0.125,0.00104166666667,1,0.125
