smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-332525418.543,3238309.06935,-332525418.543,-330235588.241,-334815248.846,-334586265.816,-330464571.271,2.0,10486645628600.0,0.250000499385,51,0.125226860254,2.6175466018599997e-14,0.125018050542,0.00391391230429
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-361323895.777,3496464.90759,-361323895.777,-358851521.731,-363796269.823,-363549032.419,-359098759.135,2.0,12225266850000.0,0.124999250922,10,0.250453720508,2.6175466018599997e-14,0.125018050542,0.00391388103154
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-372410626.907,21474936.4538,-372410626.907,-357225553.714,-387595700.099,-386077192.779,-358744061.034,2.0,461172895695000.0,0.249999500615,28,0.125226860254,2.6175466018599997e-14,0.249963898917,0.0078255329277
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-396524203.201,14464226.2176,-396524203.201,-386296450.758,-406751955.644,-405729180.4,-387319226.002,2.0,209213840075000.0,0.249999500615,39,0.249546279492,2.6175466018599997e-14,0.25,0.0155966113133
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-434772219.779,40536753.8259,-434772219.779,-406108406.262,-463436033.297,-460569651.945,-408974787.613,2.0,1643228410740000.0,0.249999500615,50,0.125226860254,2.6175466018599997e-14,0.125018050542,0.00391389666791
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-499238921.81,8454367.84728,-499238921.81,-493260780.974,-505217062.645,-504619248.562,-493858595.058,2.0,71476335697200.0,0.250000499385,57,0.250453720508,2.6175466018599997e-14,0.25,0.0156533888
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-540600035.767,17695895.2501,-540600035.767,-528087148.237,-553112923.298,-551861634.545,-529338436.99,2.0,313144708702000.0,0.249999500615,34,0.250453720508,2.6175466018599997e-14,0.25,0.0156533262635
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-563467727.947,54194328.623,-563467727.947,-525146550.676,-601788905.218,-597956787.491,-528978668.403,2.0,2937025254900000.0,0.249999500615,45,0.249546279492,2.6175466018599997e-14,0.125018050542,0.00779943176577
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-581890279.532,12878995.4511,-581890279.532,-572783454.514,-590997104.55,-590086422.049,-573694137.016,2.0,165868523828000.0,0.250000499385,52,0.125226860254,2.6175466018599997e-14,0.25,0.0078266944
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-604616761.451,15523243.5905,-604616761.451,-593640170.642,-615593352.26,-614495693.179,-594737829.723,2.0,240971091571000.0,0.124999250922,5,0.125226860254,2.6175466018599997e-14,0.125018050542,0.00195694051577
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-658579583.865,10597431.604,-658579583.865,-651086068.114,-666073099.615,-665323748.04,-651835419.69,2.0,112305556601000.0,0.250000499385,63,0.249546279492,2.6175466018599997e-14,0.249963898917,0.0155944213959
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-700904925.031,24817729.4322,-700904925.031,-683356140.256,-718453709.807,-716698831.329,-685111018.734,2.0,615919694172000.0,0.249999500615,29,0.125226860254,2.6175466018599997e-14,0.25,0.00782666313177
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-720374020.764,24081640.9647,-720374020.764,-703345729.135,-737402312.392,-735699483.229,-705048558.298,2.0,579925431553000.0,0.249999500615,40,0.249546279492,2.6175466018599997e-14,0.125018050542,0.00779943176577
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-746678160.822,39873962.4251,-746678160.822,-718483011.599,-774873310.046,-772053795.123,-721302526.521,2.0,1589932879480000.0,0.250000499385,58,0.250453720508,2.6175466018599997e-14,0.249963898917,0.0156511283828
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-827756175.369,16379811.6544,-827756175.369,-816173899.474,-839338451.265,-838180223.675,-817332127.064,2.0,268298229835000.0,0.250000499385,69,0.249546279492,2.6175466018599997e-14,0.25,0.0155966736232
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-844144901.289,3247121.97058,-844144901.289,-841848839.324,-846440963.254,-846211357.057,-842078445.521,2.0,10543801091800.0,0.250000499385,76,0.125226860254,2.6175466018599997e-14,0.125018050542,0.00391391230429
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-884632168.317,3130648.01931,-884632168.317,-882418465.873,-886845870.761,-886624500.516,-882639836.117,2.0,9800957020820.0,0.250000499385,53,0.125226860254,2.6175466018599997e-14,0.249963898917,0.00782556419142
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-897844167.507,16769896.461,-897844167.507,-885986059.999,-909702275.014,-908516464.263,-887171870.75,2.0,281229427313000.0,0.249999500615,35,0.250453720508,2.6175466018599997e-14,0.125018050542,0.00782779333583
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-933990896.984,6699859.65024,-933990896.984,-929253380.792,-938728413.176,-938254661.556,-929727132.411,2.0,44888119333000.0,0.250000499385,75,0.125226860254,2.6175466018599997e-14,0.125018050542,0.00391391230429
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-968361713.615,10837797.3506,-968361713.615,-960698233.615,-976025193.614,-975258845.614,-961464581.615,2.0,117457851412000.0,0.250000499385,64,0.249546279492,2.6175466018599997e-14,0.25,0.0155966736232
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1011458165.23,10202355.3064,-1011458165.23,-1004244010.61,-1018672319.85,-1017950904.39,-1004965426.07,2.0,104088053798000.0,0.250000499385,82,0.250453720508,2.6175466018599997e-14,0.25,0.0156533888
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1056561535.4,106492242.031,-1056561535.4,-981260148.916,-1131862921.88,-1124332783.23,-988790287.564,2.0,1.13405976127e+16,0.249999500615,30,0.125226860254,2.6175466018599997e-14,0.125018050542,0.00391389666791
