npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,PointProbability,prefix
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1048965557.31,3133326.96376,1048965557.31,1051181154.06,1046749960.57,1046971520.24,1050959594.38,2.0,9817737861820.0,0.00390603549646,0.124993135887,0.125,0.25,1.17734560967e-13,104
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1039995688.41,16288522.6976,1039995688.41,1051513413.26,1028477963.55,1029629736.04,1050361640.78,2.0,265315971671000.0,0.00781233727318,0.249994792742,0.125,0.25,1.17734560967e-13,109
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,994401978.349,22361948.047,994401978.349,1010214263.45,978589693.244,980170921.755,1008633034.94,2.0,500056720455000.0,0.00781263314013,0.250004260484,0.125,0.25,1.17734560967e-13,114
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,931460970.129,4334156.81964,931460970.129,934525681.806,928396258.451,928702729.618,934219210.639,2.0,18784915337200.0,0.00781266272682,0.250005207258,0.125,0.25,1.17734560967e-13,119
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,880679123.134,7259436.41117,880679123.134,885812319.848,875545926.42,876059246.092,885299000.177,2.0,52699417007800.0,0.00390633136341,0.125002603629,0.125,0.25,1.17734560967e-13,124
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,850920553.47,6815749.7322,850920553.47,855740016.325,846101090.616,846583036.901,855258070.039,2.0,46454444412000.0,0.00781233727318,0.249994792742,0.125,0.25,1.17734560967e-13,108
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,848012120.013,6557199.92684,848012120.013,852648760.547,843375479.479,843839143.533,852185096.494,2.0,42996870880500.0,0.00390603549646,0.124993135887,0.125,0.25,1.17734560967e-13,103
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,804317343.302,10496283.2375,804317343.302,811739336.356,796895350.247,797637549.553,810997137.051,2.0,110171961801000.0,0.00781263314013,0.250004260484,0.125,0.25,1.17734560967e-13,113
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,734907374.892,19564932.5326,734907374.892,748741871.359,721072878.425,722456328.071,747358421.712,2.0,382786585004000.0,0.00781266272682,0.250005207258,0.125,0.25,1.17734560967e-13,118
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,678466318.664,17963701.8038,678466318.664,691168574.025,665764063.303,667034288.839,689898348.489,2.0,322694582496000.0,0.00390633136341,0.125002603629,0.125,0.25,1.17734560967e-13,123
