npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1009316951.52,548666.181494,1009316951.52,1009704917.1,1008928985.95,1008967782.5,1009666120.54,2.0,301034578715.0,0.25,0.125210084034,0.00391254412062,0.124991342377,51,2.78193391732e-13
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,996172402.925,1614077.77676,996172402.925,997313728.266,995031077.583,995145210.117,997199595.732,2.0,2605247069440.0,0.25,0.125210084034,0.00782582382741,0.250006184017,61,2.78193391732e-13
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,949854147.417,28957202.9889,949854147.417,970329982.015,929378312.82,931425896.28,968282398.555,2.0,838519604943000.0,0.25,0.249579831933,0.00779882955587,0.124991342377,78,2.78193391732e-13
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,942122134.165,10409191.6502,942122134.165,949482544.168,934761724.163,935497765.163,948746503.167,2.0,108351270811000.0,0.25,0.249579831933,0.0155983536443,0.249993815983,83,2.78193391732e-13
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,924755552.251,24701601.3811,924755552.251,942222222.094,907288882.408,909035549.393,940475555.109,2.0,610169110790000.0,0.25,0.125210084034,0.00782582382741,0.250006184017,66,2.78193391732e-13
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,908789703.216,18440794.8992,908789703.216,921829314.34,895750092.093,897054053.205,920525353.228,2.0,340062916515000.0,0.25,0.249579831933,0.0155991253473,0.250006184017,88,2.78193391732e-13
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,879268106.714,14104783.2177,879268106.714,889241694.575,869294518.854,870291877.64,888244335.789,2.0,198944909620000.0,0.25,0.125210084034,0.00391289255617,0.125002473607,71,2.78193391732e-13
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,850433868.642,21081465.1915,850433868.642,865340715.637,835527021.648,837017706.347,863850030.937,2.0,444428174620000.0,0.25,0.249579831933,0.0155991253473,0.250006184017,93,2.78193391732e-13
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,830566901.415,3162511.62847,830566901.415,832803134.833,828330667.997,828554291.339,832579511.492,2.0,10001479800200.0,0.25,0.249579831933,0.0155983536443,0.249993815983,82,2.78193391732e-13
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,808988770.888,2885450.14882,808988770.888,811029092.255,806948449.521,807152481.657,810825060.118,2.0,8325822561340.0,0.25,0.249579831933,0.00779882955587,0.124991342377,77,2.78193391732e-13
