smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,770218596.249,439726.655111,770218596.249,770529529.949,769907662.549,769938755.919,770498436.579,2.0,193359531215.0,1.83230531396e-13,0.125018050542,0.00391384975812,0.125226860254,26,0.249996504259
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,694472895.117,407342.434826,694472895.117,694760929.715,694184860.519,694213663.979,694732126.255,2.0,165927859210.0,1.83230531396e-13,0.125018050542,0.00391395921408,0.125226860254,51,0.250003495741
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,618365863.787,107723.80376,618365863.787,618442036.019,618289691.555,618297308.778,618434418.796,2.0,11604417896.6,1.83230531396e-13,0.125018050542,0.00391395921408,0.125226860254,76,0.250003495741
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,543734762.537,153650.887347,543734762.537,543843410.121,543626114.953,543636979.711,543832545.363,2.0,23608595182.4,1.83230531396e-13,0.125018050542,0.00195697413424,0.125226860254,101,0.125001398296
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,538172528.264,3154939.11699,538172528.264,540403407.107,535941649.42,536164737.304,540180319.223,2.0,9953640831920.0,1.83230531396e-13,0.25,0.0156531386514,0.250453720508,32,0.249996504259
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,463259174.923,1922965.86701,463259174.923,464618917.127,461899432.718,462035406.939,464482942.907,2.0,3697797725700.0,1.83230531396e-13,0.25,0.0156535764121,0.250453720508,57,0.250003495741
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,451454396.858,3863203.7883,451454396.858,454186094.454,448722699.262,448995869.022,453912924.694,2.0,14924343510000.0,1.83230531396e-13,0.25,0.00391318616671,0.125226860254,2,0.124995105963
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,444552651.983,780924.839699,444552651.983,445104849.232,444000454.733,444055674.458,445049629.508,2.0,609843605259.0,1.83230531396e-13,0.25,0.00782656932572,0.125226860254,27,0.249996504259
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,385005035.804,3350711.90734,385005035.804,387374346.915,382635724.692,382872655.803,387137415.804,2.0,11227270286000.0,1.83230531396e-13,0.25,0.0156535764121,0.250453720508,82,0.250003495741
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,369854753.963,2338353.46818,369854753.963,371508219.557,368201288.369,368366634.928,371342872.997,2.0,5467896942160.0,1.83230531396e-13,0.25,0.00782678820604,0.125226860254,52,0.250003495741
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,316847927.618,4772867.55548,316847927.618,320222854.632,313473000.604,313810493.305,319885361.931,2.0,22780264702100.0,1.83230531396e-13,0.249963898917,0.0155941721897,0.249546279492,38,0.249996504259
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,312623443.071,182537.5095,312623443.071,312752516.582,312494369.561,312507276.912,312739609.231,2.0,33319942374.3,1.83230531396e-13,0.25,0.00782676631801,0.250453720508,107,0.125001398296
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,291328914.671,4163880.95297,291328914.671,294273223.129,288384606.213,288679037.059,293978792.283,2.0,17337904590500.0,1.83230531396e-13,0.25,0.00782678820604,0.125226860254,77,0.250003495741
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,238280564.718,663518.435202,238280564.718,238749743.103,237811386.333,237858304.171,238702825.264,2.0,440256713853.0,1.83230531396e-13,0.249963898917,0.0155946083013,0.249546279492,63,0.250003495741
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,228960367.314,7125791.85558,228960367.314,233999063.056,223921671.572,224425541.146,233495193.482,2.0,50776909569100.0,1.83230531396e-13,0.249963898917,0.00782524217136,0.250453720508,8,0.124995105963
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,218379825.118,565794.244016,218379825.118,218779902.065,217979748.171,218019755.866,218739894.37,2.0,320123126561.0,1.83230531396e-13,0.25,0.003913383159,0.125226860254,102,0.125001398296
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,215362888.811,3013865.04835,215362888.811,217494013.224,213231764.398,213444876.839,217280900.783,2.0,9083382529690.0,1.83230531396e-13,0.249963898917,0.0156508782704,0.250453720508,33,0.249996504259
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,183795085.131,4241974.33303,183795085.131,186794613.947,180795556.314,181095509.196,186494661.065,2.0,17994346242000.0,1.83230531396e-13,0.25,0.00779801591193,0.249546279492,19,0.124995105963
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,167008834.937,1021557.19726,167008834.937,167731184.959,166286484.916,166358719.918,167658949.957,2.0,1043579107270.0,1.83230531396e-13,0.249963898917,0.0155946083013,0.249546279492,88,0.250003495741
