smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity
240.0,-194.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-303742067.577,7262726.44685,-303705874.073,-291874989.381,-312569306.849,-312131317.63,-293318119.883,10.0,52747195441800.0,0.25,0.124997854366,102,0.00390618294892,1.5260167010100002e-12,0.125
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-305424900.423,3306818.0435,-304730117.191,-301722295.476,-311656874.687,-310738831.687,-301944343.779,10.0,10935045572800.0,0.25,0.249998372277,57,0.0156248982673,1.5260167010100002e-12,0.25
240.0,-225.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-326529246.998,6400795.06058,-327226793.04,-318214310.382,-336374532.737,-336068490.847,-319137154.255,10.0,40970177407600.0,0.125,0.249998372277,56,0.00781244913367,1.5260167010100002e-12,0.25
240.0,-132.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-326750395.616,5445520.51987,-326564292.289,-317789844.426,-334303928.397,-333836706.282,-318310491.402,10.0,29653693732300.0,0.25,0.249998372277,84,0.0156248982673,1.5260167010100002e-12,0.25
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-342174755.737,3880779.34723,-341934468.293,-335877777.948,-349129329.114,-347949117.851,-336657145.164,10.0,15060448341900.0,0.25,0.249998372277,83,0.0156248982673,1.5260167010100002e-12,0.25
240.0,-225.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-343529021.588,7296432.89512,-342624734.761,-334861225.03,-355584208.003,-354454497.594,-335022509.158,10.0,53237932993000.0,0.125,0.124997854366,101,0.00195309147446,1.5260167010100002e-12,0.125
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-362205612.091,9139855.52938,-363759845.677,-349138753.739,-372509687.006,-371964815.013,-350470773.914,10.0,83536959098000.0,0.125,0.249998372277,110,0.00390622456683,1.5260167010100002e-12,0.125
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-372987893.641,6968016.09271,-371866282.662,-361828502.357,-383306653.919,-382632723.083,-364291457.053,10.0,48553248268200.0,0.25,0.249998372277,82,0.0156248982673,1.5260167010100002e-12,0.25
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-380853981.422,6080146.13337,-380836345.327,-371782924.968,-389688558.048,-389101620.393,-372673423.426,10.0,36968177003100.0,0.25,0.249998372277,109,0.00781244913367,1.5260167010100002e-12,0.125
240.0,-225.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-386550216.585,1067014.35499,-386230545.819,-385350495.572,-388146550.122,-388122593.628,-385373361.28,10.0,1138519633750.0,0.125,0.250001331773,11,0.00390627080895,1.5260167010100002e-12,0.125
