smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-408627922.076,35185646.6784,-406480239.512,-373705931.372,-447845277.908,-444905077.85,-375357521.892,4.0,1238029732170000.0,0.00195650474422,105,0.124998488314,0.125226860254,0.124990974078,4.95258127397e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-452952886.552,34906239.5005,-449733394.264,-422519036.964,-489825720.718,-487707226.637,-422705835.671,4.0,1218445556060000.0,0.0156521680907,84,0.249999055196,0.250453720508,0.249981948155,4.95258127397e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-481496376.635,16829117.0192,-473453684.262,-472379943.206,-506698194.809,-501863260.854,-472389261.739,4.0,283219179647000.0,0.0155978276082,63,0.250000944804,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-507292724.793,17364861.3799,-504914755.192,-489024575.54,-530316813.248,-527082315.32,-490832291.708,4.0,301538410745000.0,0.00779766383568,77,0.124998488314,0.249546279492,0.249981948155,4.95258127397e-14
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-520834600.221,11241360.9932,-517677914.758,-511427271.647,-536555299.72,-534238271.136,-511850288.953,4.0,126368196978000.0,0.0155978276082,42,0.250000944804,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-549219129.714,3814806.56406,-548611226.254,-545234670.954,-554419395.395,-553550492.274,-545738831.999,4.0,14552749121200.0,0.00195653727845,21,0.125000566882,0.125226860254,0.124990974078,4.95258127397e-14
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-558728962.383,30681569.9223,-547578247.526,-535781789.039,-603977565.44,-595642738.971,-537426186.594,4.0,941358732894000.0,0.0155954573367,83,0.249999055196,0.249546279492,0.249981948155,4.95258127397e-14
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-560678323.763,22553123.4986,-565032443.794,-532911855.753,-579736551.712,-579526050.045,-535734829.438,4.0,508643379544000.0,0.00391300948845,104,0.124998488314,0.250453720508,0.124990974078,4.95258127397e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-584864612.131,14008863.0308,-591307569.557,-563886018.382,-592957291.028,-592747851.527,-567961232.339,4.0,196248243416000.0,0.0155978276082,62,0.250000944804,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-605373946.867,9448674.34749,-605313321.28,-595887412.193,-614981732.714,-614512344.276,-596320425.28,4.0,89277446925000.0,0.00782727349068,41,0.250000944804,0.125226860254,0.250018051845,4.95258127397e-14
