smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1103570708.01,29436620.6056,-1106392631.03,-1060695133.78,-1165048108.25,-1147913520.35,-1069171333.47,10.0,866514632678000.0,0.250000519641,38,0.250018051845,2.4762864257000002e-14,0.0155978010819,0.249546279492
720.0,-154.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1131309364.84,44523424.4465,-1127170540.75,-1070131461.96,-1204204858.84,-1191157529.34,-1075200901.67,10.0,1982335324440000.0,0.250000425161,45,0.250018051845,2.4762864257000002e-14,0.0078272572212,0.125226860254
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1177093519.93,43826226.8663,-1187005825.93,-1093603557.16,-1234686737.36,-1222805878.09,-1102694826.85,10.0,1920738161340000.0,0.249999574839,59,0.250018051845,2.4762864257000002e-14,0.015654461197,0.250453720508
720.0,-154.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1195151921.97,69380716.0225,-1193142833.59,-1088554865.02,-1290448339.04,-1289644896.71,-1094178050.25,10.0,4813683755790000.0,0.250000519641,65,0.250018051845,2.4762864257000002e-14,0.00782726017928,0.125226860254
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1208379070.53,14590866.8106,-1209817745.72,-1179978869.31,-1230329337.94,-1226024674.94,-1188199305.24,10.0,212893394284000.0,0.249999574839,31,0.250018051845,2.4762864257000002e-14,0.00782723059849,0.125226860254
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1212898945.95,42640552.7073,-1195321565.13,-1157743165.2,-1273078317.91,-1270457475.61,-1161278364.12,10.0,1818216735190000.0,0.250000425161,16,0.124990974078,2.4762864257000002e-14,0.00391306346567,0.125226860254
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1228980813.89,26110855.9305,-1223347319.6,-1197985564.06,-1286783831.19,-1267631326.33,-1198711126.08,10.0,681776797426000.0,0.250000519641,37,0.250018051845,2.4762864257000002e-14,0.0155978010819,0.249546279492
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1251003120.89,9855490.61642,-1251094141.82,-1233762663.76,-1265270370.19,-1263738518.07,-1235829639.81,10.0,97130695290300.0,0.124999315018,26,0.250018051845,2.4762864257000002e-14,0.00391360050885,0.125226860254
720.0,-292.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1257944514.71,32015579.5371,-1244777570.26,-1211227554.38,-1310099650.52,-1304643187.66,-1221875785.03,10.0,1024997333100000.0,0.12500016534,24,0.124990974078,2.4762864257000002e-14,0.00391306198685,0.250453720508
720.0,-292.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1279067289.83,29441411.6398,-1281454342.58,-1223775174.17,-1320714292.4,-1314312797.56,-1237660862.66,10.0,866796719346000.0,0.250000425161,44,0.250018051845,2.4762864257000002e-14,0.0156545144424,0.250453720508
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1287687505.58,24077168.1188,-1290975681.65,-1250340810.31,-1322161096.11,-1320402900.24,-1252630800.75,10.0,579710024623000.0,0.124999315018,53,0.250018051845,2.4762864257000002e-14,0.00779884159372,0.249546279492
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1289040888.12,43564388.025,-1276612275.81,-1229293225.25,-1353454340.01,-1351538778.68,-1239960393.69,10.0,1897855903990000.0,0.249999574839,58,0.250018051845,2.4762864257000002e-14,0.0155977421347,0.249546279492
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1338291249.27,43656810.2383,-1351259835.78,-1271802118.98,-1399498844.0,-1386380487.28,-1275228129.12,10.0,1905917080180000.0,0.250000519641,64,0.250018051845,2.4762864257000002e-14,0.0156545203586,0.250453720508
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1358064564.87,40137202.9063,-1349649907.43,-1302221599.63,-1415198850.46,-1411392012.47,-1304358224.44,10.0,1610995057140000.0,0.250000519641,36,0.250018051845,2.4762864257000002e-14,0.00782726017928,0.125226860254
720.0,-430.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1368576550.35,30097528.3122,-1377691520.56,-1324617713.12,-1403808235.61,-1399823346.9,-1325352408.35,10.0,905861210503000.0,0.12500016534,23,0.124990974078,2.4762864257000002e-14,0.00389888422603,0.249546279492
