npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2049282025.31,48819.9863237,2049282025.31,2049316546.25,2049247504.37,2049250956.46,2049313094.16,2.0,2383391064.64,1,0.124645892351,0.125007204196,0.124991734973,1.74117872884e-13,0.00194757553204
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2001454094.51,23877.8985338,2001454094.51,2001470978.73,2001437210.29,2001438898.71,2001469290.31,2.0,570154038.392,26,0.124645892351,0.125007204196,0.249995200952,1.74117872884e-13,0.00389533385232
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1948575675.17,208486.156277,1948575675.17,1948723097.14,1948428253.19,1948442995.39,1948708354.94,2.0,43466477359.2,51,0.124645892351,0.125007204196,0.250005865503,1.74117872884e-13,0.00389550002345
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1895530940.62,294371.50891,1895530940.62,1895739092.71,1895322788.53,1895343603.74,1895718277.5,2.0,86654585258.0,76,0.124645892351,0.125007204196,0.250004799048,1.74117872884e-13,0.00389548340634
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1875109338.61,1990830.80656,1875109338.61,1876517068.57,1873701608.65,1873842381.64,1876376295.58,2.0,3963407300330.0,7,0.25,0.250014408391,0.124991734973,1.74117872884e-13,0.00781243366828
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1842625901.52,23780.350871,1842625901.52,1842642716.77,1842609086.27,1842610767.8,1842641035.24,2.0,565505087.547,101,0.124645892351,0.125007204196,0.125002399524,1.74117872884e-13,0.00194774170317
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1826106157.16,1183895.07179,1826106157.16,1826943297.39,1825269016.92,1825352730.95,1826859583.37,2.0,1401607541010.0,32,0.25,0.250014408391,0.249995200952,1.74117872884e-13,0.0156256005667
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1775747770.57,2566743.42527,1775747770.57,1777562732.25,1773932808.89,1774114305.06,1777381236.08,2.0,6588171811160.0,57,0.25,0.250014408391,0.250005865503,1.74117872884e-13,0.0156262671395
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1723208102.09,2263689.92994,1723208102.09,1724808772.59,1721607431.59,1721767498.64,1724648705.54,2.0,5124292098900.0,82,0.25,0.250014408391,0.250004799048,1.74117872884e-13,0.0156262004822
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1709232134.61,612566.667317,1709232134.61,1709665284.65,1708798984.56,1708842299.57,1709621969.65,2.0,375237921908.0,27,0.124645892351,0.250014408391,0.249995200952,1.74117872884e-13,0.00779066770464
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1702295562.29,81913.3348085,1702295562.29,1702353483.77,1702237640.82,1702243432.96,1702347691.62,2.0,6709794419.45,13,0.25,0.249985591609,0.124991734973,1.74117872884e-13,0.00781153320336
