npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight
1193.0,-885.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,44010.0,ref,braidwood,illinois,covid,2831898884.27,4444209.13468,2830343601.64,2838210045.72,2828698288.06,2828724105.99,2837251058.22,4.0,19750994832800.0,128,0.10345395413899999,0.111122894195,4.61981158295e-13,0.111111111111,0.0012773447555399998
1193.0,-885.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33007.0,ref,braidwood,illinois,covid,2831275415.32,3908278.36146,2830752593.66,2836512145.19,2827084328.78,2827577579.55,2835705201.42,4.0,15274639750700.0,119,0.10345395413899999,0.111122894195,4.61981158295e-13,0.111111111111,0.0012773447555399998
1193.0,-885.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,66015.0,ref,braidwood,illinois,covid,2830390718.36,3836402.7729599997,2829677220.64,2835667656.9,2826540775.28,2826938708.23,2834841625.31,4.0,14717986236400.0,146,0.10345395413899999,0.111122894195,4.61981158295e-13,0.111111111111,0.0012773447555399998
1193.0,-885.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11002.0,ref,braidwood,illinois,covid,2830172197.26,3357170.37667,2830165643.66,2833709682.18,2826647819.53,2826859483.08,2833494086.48,4.0,11270592938000.0,101,0.10345395413899999,0.111072395265,4.61981158295e-13,0.111111111111,0.00127676427621
1193.0,-885.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,77017.0,ref,braidwood,illinois,covid,2828837847.41,5249952.542640001,2826543862.76,2836677265.67,2825586398.44,2825691354.89,2835195918.43,4.0,27562001700000.0,155,0.10345395413899999,0.111122894195,4.61981158295e-13,0.111111111111,0.0012773447555399998
1193.0,-885.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,55012.0,ref,braidwood,illinois,covid,2827728671.44,666498.233638,2827745377.79,2828507819.99,2826916110.2,2827013505.91,2828420448.09,4.0,444219895442.0,137,0.10345395413899999,0.111122894195,4.61981158295e-13,0.111111111111,0.0012773447555399998
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,99022.0,ref,braidwood,illinois,covid,2768595820.96,3101066.72354,2768685661.35,2772253298.56,2764758662.59,2765256917.47,2771808947.91,4.0,9616614823840.0,172,0.10345395413899999,0.0555589221509,4.61981158295e-13,0.0555555555556,0.000319321676902
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,55012.0,ref,braidwood,illinois,covid,2768592950.2,4176478.35101,2768474531.75,2773601917.6,2763820819.69,2764295434.79,2773056251.44,4.0,17442971416500.0,136,0.10345395413899999,0.111122894195,4.61981158295e-13,0.0555555555556,0.0006386723777690001
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,66015.0,ref,braidwood,illinois,covid,2767659181.9,3175743.10506,2767846319.09,2770426293.53,2764517795.87,2764639670.37,2770416701.35,4.0,10085344269300.0,145,0.10345395413899999,0.111122894195,4.61981158295e-13,0.0555555555556,0.0006386723777690001
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,77017.0,ref,braidwood,illinois,covid,2767414237.35,3825634.09334,2768395810.12,2770843197.08,2762022132.09,2762864594.35,2770589678.49,4.0,14635476216100.0,154,0.10345395413899999,0.111122894195,4.61981158295e-13,0.0555555555556,0.0006386723777690001
