smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,363049237.901,494434.346743,363261172.389,363360531.463,362314075.362,362447791.048,363353976.469,4.0,244465323239.0,4.95258127397e-14,0.249999055196,0.124990974078,6,0.00391304202267,0.125226860254
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,237383603.262,4901753.90469,237654441.018,242393397.412,231832133.601,232280976.864,242107056.802,4.0,24027191342100.0,4.95258127397e-14,0.124998488314,0.250018051845,26,0.00391357462558,0.125226860254
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,149933525.085,8763618.29473,150946221.163,159285975.374,138555682.638,140055699.327,158393576.332,4.0,76801005615800.0,4.95258127397e-14,0.124998488314,0.250018051845,53,0.00779879001474,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,121873817.838,3534485.05539,122695873.557,125186604.322,116916919.917,117702929.013,124893828.656,4.0,12492584606800.0,4.95258127397e-14,0.249999055196,0.250018051845,32,0.0155977097136,0.249546279492
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,85584473.4804,567092.899629,85639698.213,86128669.2776,84929828.2178,84985003.6688,86106628.6662,4.0,321594356810.0,4.95258127397e-14,0.250000944804,0.124990974078,11,0.00391307159924,0.125226860254
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,23993684.162,3906381.28072,23237724.1379,29355442.2782,20143846.0942,20498376.9682,28547335.3897,4.0,15259814710400.0,4.95258127397e-14,0.249999055196,0.250018051845,31,0.00782721432901,0.125226860254
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-5945020.52192,9142297.46925,-5795556.17194,3476003.42269,-15664973.1665,-15055768.5608,2956477.42694,4.0,83581603016300.0,4.95258127397e-14,0.124998488314,0.250018051845,52,0.00779879001474,0.249546279492
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-71145999.076,3976762.22037,-71750379.3627,-66357917.9064,-74725319.672,-74630477.5175,-66815388.233,4.0,15814637757400.0,4.95258127397e-14,0.124998488314,0.249981948155,79,0.0078260189769,0.250453720508
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-137027781.804,9764207.88013,-136283235.596,-125881779.859,-149662876.165,-147763658.885,-127334269.415,4.0,95339755526500.0,4.95258127397e-14,0.249999055196,0.250018051845,58,0.0155977097136,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-158337188.659,5764544.81173,-156649023.797,-153586598.553,-166464108.489,-165237754.24,-153800053.885,4.0,33229976886500.0,4.95258127397e-14,0.250000944804,0.250018051845,37,0.0155978276082,0.249546279492
