smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,515814737.651,694003.420854,515814737.651,516305472.176,515324003.126,515373076.579,516256398.724,2.0,481640748157.0,2,0.0556451612903,0.111128939092,0.000343539127373,0.0555548058612,1.83804491715e-14
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,436441344.79,1710360.59962,436441344.79,437650752.369,435231937.212,435352877.97,437529811.611,2.0,2925333380740.0,101,0.0556451612903,0.055548424363,0.000343442394382,0.111110410739,1.83804491715e-14
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,431911483.484,21985150.4696,431911483.484,447457332.467,416365634.502,417920219.4,445902747.568,2.0,483346841170000.0,13,0.111290322581,0.111128939092,0.000687078254746,0.0555548058612,1.83804491715e-14
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,354609610.393,2116064.71912,354609610.393,356105894.106,353113326.681,353262955.052,355956265.734,2.0,4477729895510.0,112,0.111290322581,0.111128939092,0.00137416639139,0.111110410739,1.83804491715e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,353377141.352,7389719.03061,353377141.352,358602461.79,348151820.914,348674352.958,358079929.746,2.0,54607947351400.0,3,0.0556451612903,0.111128939092,0.000343539127373,0.0555548058612,1.83804491715e-14
720.0,-529.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,352263710.002,9316428.33586,352263710.002,358851419.655,345676000.349,346334771.315,358192648.69,2.0,86795836937200.0,24,0.111290322581,0.111096848726,0.000686879849244,0.0555548058612,1.83804491715e-14
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,337866648.557,7929198.42427,337866648.557,343473438.532,332259858.582,332820537.579,342912759.535,2.0,62872187651500.0,102,0.0556451612903,0.111128939092,0.000687083195693,0.111110410739,1.83804491715e-14
720.0,-460.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,309514958.862,11818481.8708,309514958.862,317871887.536,301158030.188,301993723.055,317036194.669,2.0,139676513729000.0,35,0.111290322581,0.111096848726,0.000686879849244,0.0555548058612,1.83804491715e-14
720.0,-323.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,293458847.503,22281938.2621,293458847.503,309214557.146,277703137.86,279278708.824,307638986.182,2.0,496484772717000.0,56,0.110483870968,0.111096848726,0.000681902459032,0.0555548058612,1.83804491715e-14
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,285586857.85,6940426.72252,285586857.85,290494480.65,280679235.05,281169997.33,290003718.37,2.0,48169523090700.0,14,0.111290322581,0.111096848726,0.000686879849244,0.0555548058612,1.83804491715e-14
