npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2215879562.45,59114.3008079,2215878052.76,2215949314.77,2215812829.51,2215819000.1,2215942238.37,4.0,3494500560.01,1.22325890947e-13,1,0.0555474452555,0.0001710196474,0.0554156171285,0.0555584016393
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,58607.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2194673002.71,179936.410789,2194654583.82,2194903478.62,2194479364.59,2194497543.33,2194874248.53,4.0,32377111927.7,1.22325890947e-13,101,0.111103422125,0.000342065561962,0.0554156171285,0.0555584016393
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2168470759.2,127149.616933,2168505255.25,2168573636.52,2168298889.79,2168321629.95,2168571594.0,4.0,16167025086.1,1.22325890947e-13,201,0.111112901697,0.000342094747696,0.0554156171285,0.0555584016393
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,175820.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2141881896.81,134223.339132,2141853831.75,2142068795.46,2141751128.3,2141764306.65,2142038778.07,4.0,18015904767.8,1.22325890947e-13,301,0.111113849654,0.000342097666269,0.0554156171285,0.0555584016393
894.0,-806.0,-19809.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2116142912.47,431107.264691,2116201520.99,2116556259.64,2115612348.24,2115667463.33,2116536309.67,4.0,185853473670.0,1.22325890947e-13,12,0.0555474452555,0.000684078589602,0.110831234257,0.111116803279
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2115316439.56,147861.764833,2115309329.38,2115494510.91,2115152588.58,2115167269.01,2115475564.37,4.0,21863101499.4,1.22325890947e-13,401,0.111112901697,0.000342094747696,0.0554156171285,0.0555584016393
894.0,-806.0,-19809.0,-1e+200,-1e+200,-1e+200,-1e+200,58607.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2099232287.45,450107.335178,2099246926.44,2099767543.0,2098667753.91,2098749695.02,2099694385.28,4.0,202596613181.0,1.22325890947e-13,112,0.111103422125,0.00136826224785,0.110831234257,0.111116803279
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,293033.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2088776554.19,211875.883365,2088776180.46,2089034237.57,2088519618.25,2088553063.51,2089000568.08,4.0,44891389951.5,1.22325890947e-13,501,0.111112901697,0.000342094747696,0.0554156171285,0.0555584016393
894.0,-806.0,-19809.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2073775601.57,1252868.87246,2073862988.88,2074914962.69,2072461465.86,2072534681.33,2074894179.6,4.0,1569680411590.0,1.22325890947e-13,212,0.111112901697,0.00136837899078,0.110831234257,0.111116803279
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2062332579.12,211840.902998,2062309301.07,2062608267.46,2062103446.88,2062126794.83,2062570952.69,4.0,44876568183.1,1.22325890947e-13,601,0.111113849654,0.000342097666269,0.0554156171285,0.0555584016393
894.0,-894.0,-19809.0,-1e+200,-1e+200,-1e+200,-1e+200,58607.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2048887192.36,935868.839797,2049080808.11,2049772222.37,2047614930.86,2047793644.36,2049709678.32,4.0,875850485302.0,1.22325890947e-13,102,0.111103422125,0.000684131123923,0.0554156171285,0.111116803279
894.0,-806.0,-19809.0,-1e+200,-1e+200,-1e+200,-1e+200,175820.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2046159222.21,926559.732612,2045767418.21,2047540461.43,2045561590.98,2045586160.43,2047280809.58,4.0,858512938097.0,1.22325890947e-13,312,0.111113849654,0.00136839066508,0.110831234257,0.111116803279
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,410247.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2035851659.14,233532.32155,2035915225.88,2036059592.58,2035516592.23,2035575863.11,2036038461.75,4.0,54537345208.3,1.22325890947e-13,701,0.111112901697,0.000342094747696,0.0554156171285,0.0555584016393
