smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,81155159.971,994052.409827,81155159.971,81858061.1708,80452258.7712,80522548.8911,81787771.0509,2.0,988140193482.0,0.0156246325691,0.25,0.249994121105,57,0.25,2.43433201164e-13
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,68386594.5183,289780.046638,68386594.5183,68591499.9544,68181689.0823,68202179.6259,68571009.4108,2.0,83972475429.6,0.00781268371546,0.25,0.125002939447,73,0.25,2.43433201164e-13
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,67948004.1343,1382303.5255,67948004.1343,68925440.3309,66970567.9378,67068311.5574,68827696.7112,2.0,1910763036620.0,0.00781194885362,0.25,0.124991181658,52,0.25,2.43433201164e-13
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,35957355.8944,1183282.38892,35957355.8944,36794062.8957,35120648.8932,35204319.5933,36710392.1956,2.0,1400157211940.0,0.0156253674309,0.25,0.250005878895,62,0.25,2.43433201164e-13
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-8786920.41681,754876.046279,-8786920.41681,-8253142.44553,-9320698.38809,-9267320.59096,-8306520.24266,2.0,569837845246.0,0.0156253674309,0.25,0.250005878895,67,0.25,2.43433201164e-13
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-52445728.1453,1519122.14335,-52445728.1453,-51371546.5763,-53519909.7143,-53412491.5574,-51478964.7332,2.0,2307732086410.0,0.00781268371546,0.25,0.125002939447,72,0.25,2.43433201164e-13
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-63978193.4227,1718053.86332,-63978193.4227,-62763345.8855,-65193040.9599,-65071556.2062,-62884830.6392,2.0,2951709077270.0,0.00781231628454,0.25,0.249994121105,56,0.125,2.43433201164e-13
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-98557509.9967,538611.643531,-98557509.9967,-98176654.0511,-98938365.9423,-98900280.3477,-98214739.6457,2.0,290102502548.0,0.00781194885362,0.25,0.124991181658,79,0.25,2.43433201164e-13
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-109285990.024,2945174.09477,-109285990.024,-107203437.45,-111368542.598,-111160287.341,-107411692.707,2.0,8674050448500.0,0.00781268371546,0.25,0.250005878895,61,0.125,2.43433201164e-13
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-111215675.114,1314300.6816,-111215675.114,-110286324.19,-112145026.039,-112052090.946,-110379259.282,2.0,1727386281640.0,0.00390597442681,0.25,0.124991181658,51,0.125,2.43433201164e-13
