smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-116072388.267,2717913.08862,-116072388.267,-114150533.491,-117994243.043,-117802057.565,-114342718.969,2.0,7387051557300.0,0.125226860254,1.83230531396e-13,0.003913383159,102,0.25,0.125001398296
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-126348528.429,2497990.58765,-126348528.429,-124582182.345,-128114874.513,-127938239.904,-124758816.953,2.0,6239956975970.0,0.249546279492,1.83230531396e-13,0.0155946083013,88,0.249963898917,0.250003495741
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-150916232.591,865411.816081,-150916232.591,-150304294.027,-151528171.155,-151466977.298,-150365487.884,2.0,748937611413.0,0.249546279492,1.83230531396e-13,0.015596424381,44,0.25,0.249996504259
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-155671074.01,977532.869407,-155671074.01,-154979853.889,-156362294.131,-156293172.119,-155048975.901,2.0,955570510770.0,0.250453720508,1.83230531396e-13,0.0156513159678,58,0.249963898917,0.250003495741
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-198364999.526,3856123.9352,-198364999.526,-195638308.142,-201091690.91,-200819021.771,-195910977.281,2.0,14869691803600.0,0.249546279492,1.83230531396e-13,0.00779728234506,113,0.249963898917,0.125001398296
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-205533820.159,4682448.9624,-205533820.159,-202222828.745,-208844811.573,-208513712.432,-202553927.887,2.0,21925328285500.0,0.125226860254,1.83230531396e-13,0.0078254391352,28,0.249963898917,0.249996504259
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-217517303.568,10259771.6654,-217517303.568,-210262549.45,-224772057.686,-224046582.274,-210988024.862,2.0,105262914625000.0,0.125226860254,1.83230531396e-13,0.00195687562387,25,0.125018050542,0.124995105963
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-218923739.872,5599607.67516,-218923739.872,-214964219.313,-222883260.431,-222487308.375,-215360171.369,2.0,31355606115800.0,0.249546279492,1.83230531396e-13,0.0155968605555,69,0.25,0.250003495741
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-228802318.863,5195777.86062,-228802318.863,-225128349.104,-232476288.622,-232108891.646,-225495746.08,2.0,26996107576900.0,0.125226860254,1.83230531396e-13,0.00391262108568,3,0.249963898917,0.124995105963
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-232346217.528,438829.678955,-232346217.528,-232035918.086,-232656516.97,-232625487.026,-232066948.031,2.0,192571487132.0,0.250453720508,1.83230531396e-13,0.0156513159678,83,0.249963898917,0.250003495741
