,index,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
0,0,522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5664.0,ref,prairie_island,minnesota,covid,1008652150.01,4530.71479713,1008652827.52,1008656292.74,1008646652.27,1008647192.08,1008656159.43,4.0,20527376.573,0.0555450773293,0.0556872037915,0.000343430451027,0.11102935405400001,11,4.3848457759400005e-12
1,1,522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11327.0,ref,prairie_island,minnesota,covid,1007083610.56,10168.113065799998,1007083935.7,1007095654.05,1007070916.79,1007072663.34,1007094102.59,4.0,103390523.31799999,0.0555450773293,0.0556872037915,0.000343733915241,0.111127462523,21,4.3848457759400005e-12
2,2,522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16991.0,ref,prairie_island,minnesota,covid,1005525159.7,7645.25369378,1005521973.73,1005536516.92,1005520174.42,1005520327.67,1005534452.09,4.0,58449904.0423,0.0555450773293,0.0556872037915,0.00034376426166300006,0.11113727336899999,31,4.3848457759400005e-12
3,3,522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22655.0,ref,prairie_island,minnesota,covid,1003970676.22,11954.2717161,1003970607.63,1003984988.04,1003956501.58,1003958109.3,1003983339.16,4.0,142904612.26299998,0.0555450773293,0.0556872037915,0.00034376426166300006,0.11113727336899999,41,4.3848457759400005e-12
4,4,522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,28319.0,ref,prairie_island,minnesota,covid,1002391511.09,26832.46223,1002391588.84,1002415304.45,1002367562.21,1002367778.3,1002415135.02,4.0,719981029.3239999,0.0555450773293,0.0556872037915,0.000343733915241,0.111127462523,51,4.3848457759400005e-12
5,5,522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33982.0,ref,prairie_island,minnesota,covid,1000827264.73,19564.995333900002,1000830223.46,1000845491.65,1000803120.32,1000805628.08,1000844759.14,4.0,382789042.415,0.0555450773293,0.0556872037915,0.000343733915241,0.111127462523,61,4.3848457759400005e-12
6,6,522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39646.0,ref,prairie_island,minnesota,covid,999293526.776,31491.5142815,999303382.592,999318035.116,999249306.8019999,999255827.862,999317427.5469999,4.0,991715471.742,0.0555450773293,0.0556872037915,0.00034376426166300006,0.11113727336899999,71,4.3848457759400005e-12
7,7,522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,45310.0,ref,prairie_island,minnesota,covid,997696527.923,10665.3216364,997696047.661,997709004.5739999,997685011.7939999,997685898.668,997707829.543,4.0,113749085.60700001,0.0555450773293,0.0556872037915,0.00034376426166300006,0.11113727336899999,81,4.3848457759400005e-12
8,8,522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50974.0,ref,prairie_island,minnesota,covid,996148645.0469999,53505.5407838,996156681.3889999,996205101.36,996076116.0510001,996087839.719,996198199.497,4.0,2862842894.57,0.0555450773293,0.0556872037915,0.00017188213083099997,0.055568636684699996,91,4.3848457759400005e-12
9,11,522.0,-460.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5664.0,ref,prairie_island,minnesota,covid,909538618.992,49098.4614357,909528993.6639999,909606796.7889999,909489691.849,909495359.498,909595353.9439999,4.0,2410658915.36,0.111090154659,0.111374407583,0.0013737218041099998,0.11102935405400001,112,4.3848457759400005e-12
10,13,522.0,-460.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11327.0,ref,prairie_island,minnesota,covid,907990778.898,94689.91097689999,907975788.967,908119471.84,907892065.82,907903355.9419999,908099187.759,4.0,8966179240.8,0.111090154659,0.111374407583,0.00137493566096,0.111127462523,122,4.3848457759400005e-12
11,15,522.0,-460.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16991.0,ref,prairie_island,minnesota,covid,906439525.0619999,76303.8488562,906415213.357,906547291.633,906380381.901,906381973.697,906531112.8139999,4.0,5822277350.27,0.111090154659,0.111374407583,0.00137505704665,0.11113727336899999,132,4.3848457759400005e-12
12,16,522.0,-460.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22655.0,ref,prairie_island,minnesota,covid,904888921.908,65040.5073704,904893557.393,904961842.148,904806730.6980001,904817211.1719999,904954142.965,4.0,4230267599.0,0.111090154659,0.111374407583,0.00137505704665,0.11113727336899999,142,4.3848457759400005e-12
