npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,616840224.41,158605.844486,616853417.822,616994858.065,616659203.93,616673933.151,616988044.891,4.0,25155813905.0,0.25,0.12498620562799999,1.04066742269e-12,0.00779080681749,53,0.24933333333299998
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,598025843.363,105439.683656,598001122.569,598169832.537,597931295.776,597936510.9990001,598149784.838,4.0,11117526889.6,0.25,0.249990803752,1.04066742269e-12,0.0155827601005,58,0.24933333333299998
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,578876562.724,391963.558018,578841505.325,579388441.143,578434799.103,578492019.747,579310186.06,4.0,153635430814.0,0.25,0.250009196248,1.04066742269e-12,0.0155839065661,63,0.24933333333299998
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,559256762.859,148436.55905,559240476.974,559452385.997,559093711.489,559112888.9419999,559423437.013,4.0,22033412062.6,0.25,0.250009196248,1.04066742269e-12,0.0155839065661,68,0.24933333333299998
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,539569148.978,435280.649979,539410743.709,540203348.5569999,539251759.936,539262497.14,540097568.1919999,4.0,189469244246.0,0.25,0.125004598124,1.04066742269e-12,0.007791953283060001,73,0.24933333333299998
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,518237573.676,184063.557642,518250439.61300004,518434677.385,518014738.09199995,518038092.59599996,518419042.444,4.0,33879393251.7,0.25,0.12498620562799999,1.04066742269e-12,0.00779080681749,52,0.24933333333299998
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,512877560.92,185223.015877,512904562.576,513056624.319,512644494.21099997,512670479.176,513046840.34699994,4.0,34307565610.7,0.25,0.249990803752,1.04066742269e-12,0.0155827601005,57,0.24933333333299998
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,493034760.72300005,349292.356292,493059485.605,493434276.90699995,492585794.775,492650476.305,493384430.305,4.0,122005150164.0,0.25,0.250009196248,1.04066742269e-12,0.0155839065661,62,0.24933333333299998
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,472196803.085,153122.516004,472148528.435,472417191.443,472072964.02800006,472079834.46800005,472381356.21300006,4.0,23446504907.4,0.25,0.250009196248,1.04066742269e-12,0.0155839065661,67,0.24933333333299998
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,451851679.32699996,209365.226956,451812462.425,452116575.704,451665216.756,451671048.46300006,452087213.855,4.0,43833798258.5,0.25,0.125004598124,1.04066742269e-12,0.007791953283060001,72,0.24933333333299998
