npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1464254501.55,2858980.90277,1464254501.55,1466276106.33,1462232896.77,1462435057.24,1466073945.85,2.0,8173771802380.0,88,0.250004799048,0.0156243993987,0.25,0.249985591609,1.74117872884e-13
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1464150721.63,220285.921362,1464150721.63,1464306487.3,1463994955.97,1464010532.53,1464290910.74,2.0,48525887150.4,77,0.250004799048,0.00779096681268,0.124645892351,0.250014408391,1.74117872884e-13
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1459085819.63,68975.8678261,1459085819.63,1459134592.93,1459037046.32,1459041923.65,1459129715.6,2.0,4757670342.36,44,0.249995200952,0.0156237995523,0.25,0.249985591609,1.74117872884e-13
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1451973703.97,5768569.34,1451973703.97,1456052698.47,1447894709.48,1448302608.93,1455644799.02,2.0,33276392230400.0,33,0.249995200952,0.0156237995523,0.25,0.249985591609,1.74117872884e-13
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1451721824.57,982161.59766,1451721824.57,1452416317.7,1451027331.45,1451096780.76,1452346868.39,2.0,964641403918.0,25,0.124991734973,0.0019586413021,0.125354107649,0.125007204196,1.74117872884e-13
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1431693206.13,1134446.13053,1431693206.13,1432495380.68,1430891031.58,1430971249.03,1432415163.22,2.0,1286968023070.0,8,0.124991734973,0.00781153320336,0.25,0.249985591609,1.74117872884e-13
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1415434365.9,4026527.77276,1415434365.9,1418281551.0,1412587180.81,1412871899.32,1417996832.49,2.0,16212925904800.0,102,0.125002399524,0.00389548340634,0.124645892351,0.250014408391,1.74117872884e-13
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1415294087.76,4581549.79023,1415294087.76,1418533732.68,1412054442.83,1412378407.32,1418209768.19,2.0,20990598480300.0,69,0.250005865503,0.0156244660483,0.25,0.249985591609,1.74117872884e-13
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1407102887.87,2204661.30911,1407102887.87,1408661818.83,1405543956.91,1405699850.0,1408505925.74,2.0,4860531487900.0,113,0.125002399524,0.00781219969937,0.25,0.249985591609,1.74117872884e-13
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1402736733.8,6157952.85256,1402736733.8,1407091064.02,1398382403.58,1398817836.61,1406655631.0,2.0,37920383334400.0,50,0.249995200952,0.00391746643102,0.125354107649,0.125007204196,1.74117872884e-13
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1393879713.02,1192275.36623,1393879713.02,1394722779.02,1393036647.03,1393120953.63,1394638472.42,2.0,1421520548920.0,58,0.250005865503,0.0156244660483,0.25,0.249985591609,1.74117872884e-13
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1354766946.32,5588159.94731,1354766946.32,1358718372.11,1350815520.53,1351210663.11,1358323229.53,2.0,31227531596700.0,94,0.250004799048,0.0156243993987,0.25,0.249985591609,1.74117872884e-13
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1341711608.4,1689270.23482,1341711608.4,1342906102.84,1340517113.97,1340636563.41,1342786653.4,2.0,2853633926240.0,83,0.250004799048,0.0156243993987,0.25,0.249985591609,1.74117872884e-13
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1340145585.42,3145583.97768,1340145585.42,1342369849.18,1337921321.66,1338143748.04,1342147422.81,2.0,9894698560630.0,39,0.249995200952,0.0156237995523,0.25,0.249985591609,1.74117872884e-13
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1336492124.82,8374589.30325,1336492124.82,1342413853.7,1330570395.93,1331162568.82,1341821680.81,2.0,70133745998000.0,75,0.250005865503,0.00391763354631,0.125354107649,0.125007204196,1.74117872884e-13
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1322498905.97,1837915.63975,1322498905.97,1323798508.58,1321199303.36,1321329263.62,1323668548.32,2.0,3377933898820.0,14,0.124991734973,0.00781153320336,0.25,0.249985591609,1.74117872884e-13
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1308488379.05,5041118.85849,1308488379.05,1312052988.38,1304923769.72,1305280230.65,1311696527.44,2.0,25412879345400.0,28,0.249995200952,0.00778976974847,0.124645892351,0.249985591609,1.74117872884e-13
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1307267755.42,10720128.547,1307267755.42,1314848031.02,1299687479.83,1300445507.39,1314090003.46,2.0,114921156064000.0,119,0.125002399524,0.00781219969937,0.25,0.249985591609,1.74117872884e-13
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1297038006.64,3446762.33113,1297038006.64,1299475235.66,1294600777.63,1294844500.53,1299231512.76,2.0,11880170567300.0,108,0.125002399524,0.00781219969937,0.25,0.249985591609,1.74117872884e-13
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1289277352.63,11490842.6106,1289277352.63,1297402605.36,1281152099.9,1281964625.17,1296590080.09,2.0,132039463903000.0,100,0.250004799048,0.00391761683478,0.125354107649,0.125007204196,1.74117872884e-13
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1281459601.58,4564716.97264,1281459601.58,1284687343.9,1278231859.25,1278554633.48,1284364569.67,2.0,20836641040300.0,64,0.250005865503,0.0156244660483,0.25,0.249985591609,1.74117872884e-13
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1252770422.56,4595123.43991,1252770422.56,1256019665.5,1249521179.61,1249846103.91,1255694741.21,2.0,21115159428000.0,53,0.250005865503,0.00779010205243,0.124645892351,0.249985591609,1.74117872884e-13
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1249501764.14,6382442.18731,1249501764.14,1254014832.29,1244988695.99,1245440002.8,1253563525.48,2.0,40735568274400.0,20,0.124991734973,0.00390621683414,0.25,0.125007204196,1.74117872884e-13
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1249385339.65,1921205.766,1249385339.65,1250743837.28,1248026842.03,1248162691.79,1250607987.52,2.0,3691031595320.0,3,0.124991734973,0.00389470210706,0.124645892351,0.249985591609,1.74117872884e-13
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1236360610.65,3881224.53189,1236360610.65,1239105050.84,1233616170.47,1233890614.49,1238830606.82,2.0,15063903866900.0,45,0.249995200952,0.00781280028334,0.25,0.125007204196,1.74117872884e-13
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1235114089.99,7314629.46785,1235114089.99,1240286314.09,1229941865.89,1230459088.3,1239769091.68,2.0,53503804251900.0,125,0.125002399524,0.00195880841739,0.125354107649,0.125007204196,1.74117872884e-13
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1231711464.39,4858055.62771,1231711464.39,1235146628.47,1228276300.31,1228619816.72,1234803112.06,2.0,23600704481900.0,89,0.250004799048,0.0156243993987,0.25,0.249985591609,1.74117872884e-13
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1198881977.62,3328596.63628,1198881977.62,1201235650.88,1196528304.37,1196763671.69,1201000283.55,2.0,11079555567100.0,78,0.250004799048,0.00779006882203,0.124645892351,0.249985591609,1.74117872884e-13
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1197361533.82,8185427.14047,1197361533.82,1203149504.86,1191573562.78,1192152359.89,1202570707.76,2.0,67001217472000.0,70,0.250005865503,0.00781313356976,0.25,0.125007204196,1.74117872884e-13
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1185978240.29,1639806.97597,1185978240.29,1187137758.92,1184818721.66,1184934673.52,1187021807.06,2.0,2688966918440.0,114,0.125002399524,0.00781219969937,0.25,0.249985591609,1.74117872884e-13
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1185411445.22,4288014.11912,1185411445.22,1188443529.08,1182379361.36,1182682569.75,1188140320.7,2.0,18387065085700.0,34,0.249995200952,0.0156237995523,0.25,0.249985591609,1.74117872884e-13
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1154593901.41,5867330.24346,1154593901.41,1158742730.41,1150445072.41,1150859955.31,1158327847.51,2.0,34425564185800.0,103,0.125002399524,0.00389503441102,0.124645892351,0.249985591609,1.74117872884e-13
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1145147119.53,2120630.51219,1145147119.53,1146646631.74,1143647607.31,1143797558.53,1146496680.52,2.0,4497073769210.0,9,0.124991734973,0.00781153320336,0.25,0.249985591609,1.74117872884e-13
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1138709360.27,11533360.3889,1138709360.27,1146864677.61,1130554042.93,1131369574.66,1146049145.88,2.0,133018401860000.0,95,0.250004799048,0.00781310024112,0.25,0.125007204196,1.74117872884e-13
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1127432081.28,4065563.38803,1127432081.28,1130306868.72,1124557293.84,1124844772.58,1130019389.98,2.0,16528805662100.0,59,0.250005865503,0.0156244660483,0.25,0.249985591609,1.74117872884e-13
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1084368540.07,15024738.9273,1084368540.07,1094992634.85,1073744445.29,1074806854.76,1093930225.37,2.0,225742779834000.0,120,0.125002399524,0.00390655012056,0.25,0.125007204196,1.74117872884e-13
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1073875092.75,7450206.81257,1073875092.75,1079143184.51,1068607000.99,1069133810.17,1078616375.33,2.0,55505581550100.0,40,0.249995200952,0.00781280028334,0.25,0.125007204196,1.74117872884e-13
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1071985819.61,10081712.3876,1071985819.61,1079114666.81,1064856972.42,1065569857.14,1078401782.09,2.0,101640924667000.0,84,0.250004799048,0.0156243993987,0.25,0.249985591609,1.74117872884e-13
