smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-397305891.22,7283090.47923,-396758955.749,-390358144.337,-405347509.044,-404775412.356,-390602079.743,4.0,53043406928700.0,0.00782721432901,4.95258127397e-14,56,0.125226860254,0.249999055196,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-402990114.685,27075855.0799,-394683196.412,-380856879.511,-441737186.407,-435567008.953,-382042906.001,4.0,733101928309000.0,0.0156521680907,4.95258127397e-14,84,0.250453720508,0.249999055196,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-404373602.142,6213038.25769,-405974769.49,-395517545.258,-410027324.33,-409475939.686,-397029630.311,4.0,38601844391500.0,0.00779766383568,4.95258127397e-14,77,0.249546279492,0.124998488314,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-476826286.584,37431731.8247,-460848959.219,-453058383.716,-532548844.18,-522301839.387,-453718992.09,4.0,1401134547400000.0,0.00391300948845,4.95258127397e-14,104,0.250453720508,0.124998488314,0.124990974078
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-494603564.136,15057857.0949,-494767271.077,-479384730.621,-509494983.768,-508883155.407,-480094783.147,4.0,226739060289000.0,0.0155978276082,4.95258127397e-14,63,0.249546279492,0.250000944804,0.250018051845
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-516140194.555,4216667.86148,-515761494.622,-511456340.372,-521581448.605,-520838718.251,-511971850.767,4.0,17780287854000.0,0.0155954573367,4.95258127397e-14,83,0.249546279492,0.249999055196,0.249981948155
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-586627865.419,8063012.17242,-586440630.326,-578152160.774,-595478040.252,-594832383.834,-578685476.135,4.0,65012165292600.0,0.0155978276082,4.95258127397e-14,42,0.249546279492,0.250000944804,0.250018051845
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-588669256.062,14985156.2297,-590272033.989,-569837274.21,-604295682.061,-603077631.729,-572016991.298,4.0,224554907228000.0,0.00391300948845,4.95258127397e-14,76,0.125226860254,0.124998488314,0.249981948155
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-620359405.765,12797294.1567,-622654248.762,-602820453.133,-633308672.404,-631958831.095,-605547200.24,4.0,163770737734000.0,0.0155978276082,4.95258127397e-14,62,0.249546279492,0.250000944804,0.250018051845
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-648096701.67,27600109.3864,-647223739.12,-622841170.583,-675098157.857,-674128630.437,-623286920.473,4.0,761766038140000.0,0.00391304202267,4.95258127397e-14,110,0.125226860254,0.249999055196,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-666885862.132,2700120.78352,-666660033.559,-664119792.959,-670103588.449,-669792863.151,-664295021.114,4.0,7290652245590.0,0.00195653727845,4.95258127397e-14,21,0.125226860254,0.125000566882,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-683446584.396,38184533.2704,-682537769.405,-643852578.285,-724858220.49,-722011801.433,-646153708.347,4.0,1458058581080000.0,0.00389883191784,4.95258127397e-14,103,0.249546279492,0.124998488314,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-690180115.151,7688781.25931,-689047680.373,-682296406.662,-700328693.197,-698965871.71,-682979767.282,4.0,59117357253500.0,0.0155954573367,4.95258127397e-14,82,0.249546279492,0.249999055196,0.249981948155
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-702058926.364,2642217.32429,-702292205.385,-698834337.556,-704816957.13,-704616687.393,-699174574.705,4.0,6981312388790.0,0.00782727349068,4.95258127397e-14,41,0.125226860254,0.250000944804,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-757409793.27,7372185.87236,-755523920.861,-751381054.659,-767210276.697,-765971925.857,-751487882.054,4.0,54349124536600.0,0.00782727349068,4.95258127397e-14,61,0.125226860254,0.250000944804,0.250018051845
