smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,22707666.9244,2562977.70065,23127015.6358,25358426.7724,19218209.6535,19763176.0131,25065069.6396,4.0,6568854694040.0,0.250018051845,0.0078270161323,3.46688419418e-13,0.125226860254,0.249992724848,31
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-6670863.69379,7421804.88953,-4936949.14819,329980.264251,-17139536.743,-15393450.2462,-375757.505181,4.0,55083187818200.0,0.250018051845,0.00391330099566,3.46688419418e-13,0.125226860254,0.12498974865,26
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-22958254.3254,4518234.41091,-21747706.7012,-19014893.1911,-29322710.7082,-28345773.715,-19265501.6098,4.0,20414442192000.0,0.250018051845,0.00782747168739,3.46688419418e-13,0.125226860254,0.250007275152,36
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-27977257.6902,12034841.6539,-25799849.5813,-16005768.7825,-44303562.8157,-41941054.2348,-17061832.4981,4.0,144837413635000.0,0.250018051845,0.00779824473773,3.46688419418e-13,0.249546279492,0.12498974865,53
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-66975743.4404,3401097.43177,-66674917.6903,-63968465.663,-70584672.718,-70372508.4405,-64000134.4904,4.0,11567463740400.0,0.250018051845,0.00782747168739,3.46688419418e-13,0.125226860254,0.250007275152,41
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-71687346.8662,14566177.0972,-70704205.8464,-58816711.7005,-86524264.0713,-85824276.7297,-58926814.4302,4.0,212173515227000.0,0.250018051845,0.0155973147564,3.46688419418e-13,0.249546279492,0.249992724848,58
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-111478824.508,5908825.88115,-109997349.385,-106374124.248,-119546475.013,-118435963.378,-106595750.809,4.0,34914223293700.0,0.250018051845,0.00391371513664,3.46688419418e-13,0.125226860254,0.125002976198,46
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-130486218.703,17219689.3797,-124803707.859,-117451418.579,-154886040.516,-151193313.521,-117734639.067,4.0,296517702334000.0,0.250018051845,0.0155982225654,3.46688419418e-13,0.249546279492,0.250007275152,63
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-155756051.865,9957913.1416,-153675599.503,-146362822.858,-169310185.597,-167400724.394,-147024012.644,4.0,99160034135600.0,0.250018051845,0.0155982225654,3.46688419418e-13,0.249546279492,0.250007275152,68
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-161454732.46,5792183.35845,-160926968.169,-155036752.441,-168928241.061,-167913204.32,-155735130.608,4.0,33549388057900.0,0.250018051845,0.0155973147564,3.46688419418e-13,0.249546279492,0.249992724848,57
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-192172380.249,9127517.05191,-190322378.825,-184291445.417,-203753317.932,-202464764.152,-184469998.342,4.0,83311567532900.0,0.250018051845,0.00779824473773,3.46688419418e-13,0.249546279492,0.12498974865,52
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-198317638.219,9469217.75298,-196843861.922,-188720599.698,-210862229.332,-209172782.159,-189525781.093,4.0,89666084853300.0,0.249981948155,0.00782547179608,3.46688419418e-13,0.250453720508,0.12498974865,79
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-205587777.171,17703687.1238,-199536234.227,-192571481.777,-230707158.455,-226897190.13,-192750524.335,4.0,313420537778000.0,0.250018051845,0.00779907001867,3.46688419418e-13,0.249546279492,0.125002976198,73
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-227554310.724,21520319.1567,-232722942.224,-199429830.038,-245341528.409,-245052307.762,-202820229.585,4.0,463124136604000.0,0.250018051845,0.0155982225654,3.46688419418e-13,0.249546279492,0.250007275152,62
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-240872207.061,7067168.13044,-240325010.776,-234714364.592,-248124442.1,-247767312.97,-234743175.95,4.0,49944865383900.0,0.249981948155,0.0156517717545,3.46688419418e-13,0.250453720508,0.249992724848,84
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-264320705.131,18096215.5171,-261054310.673,-249268601.155,-285905598.023,-283916245.554,-249298116.95,4.0,327473016040000.0,0.250018051845,0.0155982225654,3.46688419418e-13,0.249546279492,0.250007275152,67
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-287003010.557,8165293.27143,-285206928.407,-279719634.881,-297878550.532,-296477999.183,-280042536.94,4.0,66672014208500.0,0.250018051845,0.0078270161323,3.46688419418e-13,0.125226860254,0.249992724848,56
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-295521399.319,9347496.42255,-292810250.507,-287726421.609,-308738674.652,-306716349.902,-288122057.072,4.0,87375689369600.0,0.250018051845,0.00779907001867,3.46688419418e-13,0.249546279492,0.125002976198,72
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-296380282.742,20055089.7852,-295897966.067,-274849047.098,-318876151.737,-317060553.675,-276375255.155,4.0,402206626293000.0,0.249981948155,0.0156526827331,3.46688419418e-13,0.250453720508,0.250007275152,89
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-324551012.089,3078466.3212,-325134272.159,-320293359.348,-327642144.69,-327293576.125,-320991883.956,4.0,9476954890740.0,0.250018051845,0.00782747168739,3.46688419418e-13,0.125226860254,0.250007275152,61
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-331659023.932,18635881.179,-326960621.356,-316816757.942,-355898095.074,-353019157.63,-316876653.84,4.0,347296067318000.0,0.249981948155,0.0156526827331,3.46688419418e-13,0.250453720508,0.250007275152,94
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-343218988.107,3492480.74076,-343396778.21,-339314802.236,-346767593.771,-346574709.333,-339614360.735,4.0,12197421724600.0,0.249981948155,0.0155950624366,3.46688419418e-13,0.249546279492,0.249992724848,83
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-346429166.873,17120235.9602,-338547877.419,-336564324.094,-372056588.561,-367136248.458,-336755890.525,4.0,293102479334000.0,0.250018051845,0.00391330099566,3.46688419418e-13,0.125226860254,0.12498974865,51
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-363170724.216,10262330.3952,-359955609.906,-354948709.38,-377822967.674,-375525034.294,-355317574.174,4.0,105315425141000.0,0.249981948155,0.0077971186374,3.46688419418e-13,0.249546279492,0.12498974865,78
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-373138041.395,30202072.7757,-362155969.133,-351271529.541,-416968697.774,-409786089.315,-351864894.643,4.0,912165199948000.0,0.124990974078,0.00195636794902,3.46688419418e-13,0.125226860254,0.12498974865,105
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-381693880.353,15936814.7444,-375900839.931,-369849419.674,-405124421.875,-400990670.237,-370507347.059,4.0,253982064198000.0,0.250018051845,0.00782747168739,3.46688419418e-13,0.125226860254,0.250007275152,66
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-391310696.051,26056194.8758,-391427588.712,-360133079.071,-422254527.711,-418728585.361,-363729157.017,4.0,678925291404000.0,0.249981948155,0.00782629995845,3.46688419418e-13,0.250453720508,0.125002976198,99
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-403047002.124,22149804.9988,-397639602.409,-385445095.458,-431463708.219,-428214999.207,-385449364.641,4.0,490613861486000.0,0.249981948155,0.0155959701145,3.46688419418e-13,0.249546279492,0.250007275152,88
