smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,807131791.345,54706.5160789,807131791.345,807170474.693,807093107.996,807096976.331,807166606.359,2.0,2992802901.49,0.111106553709,1.2866453778e-13,0.0556451612903,101,0.0003434304723,0.055548424363
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,691387164.053,1342314.72691,691387164.053,692336323.899,690438004.207,690532920.192,692241407.915,2.0,1801808826070.0,0.111106553709,1.2866453778e-13,0.111290322581,112,0.00137411868928,0.111128939092
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,650476905.465,378232.877928,650476905.465,650744356.498,650209454.433,650236199.536,650717611.395,2.0,143060109946.0,0.111106553709,1.2866453778e-13,0.0556451612903,102,0.000687059344642,0.111128939092
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,647217829.353,477519.281487,647217829.353,647555486.475,646880172.231,646913937.943,647521720.763,2.0,228024664192.0,0.0555501695353,1.2866453778e-13,0.0556451612903,2,0.000343510457318,0.111128939092
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,576981010.196,1605711.15439,576981010.196,578116419.442,575845600.95,575959141.875,578002878.517,2.0,2578308311320.0,0.111106553709,1.2866453778e-13,0.111290322581,123,0.00137411868928,0.111128939092
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,534938809.234,1503671.60281,534938809.234,536002065.621,533875552.847,533981878.485,535895739.982,2.0,2261028289110.0,0.0555501695353,1.2866453778e-13,0.111290322581,13,0.000687020914636,0.111128939092
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,533721275.397,517244.205596,533721275.397,534087022.283,533355528.512,533392103.201,534050447.594,2.0,267541568223.0,0.111106553709,1.2866453778e-13,0.111290322581,113,0.00137411868928,0.111128939092
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,481599380.313,1543372.65121,481599380.313,482690709.581,480508051.045,480617183.972,482581576.654,2.0,2381999140520.0,0.111106553709,1.2866453778e-13,0.0556451612903,103,0.000687059344642,0.111128939092
720.0,-460.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,464541506.237,689818.272062,464541506.237,465029281.415,464053731.059,464102508.577,464980503.897,2.0,475849248471.0,0.111106553709,1.2866453778e-13,0.111290322581,134,0.0013737218892,0.111096848726
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,453309483.849,2274000.19095,453309483.849,454917444.805,451701522.894,451862318.989,454756648.709,2.0,5171076868450.0,0.0555501695353,1.2866453778e-13,0.0556451612903,3,0.000343510457318,0.111128939092
