npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,786759583.29,161655.796902,786792599.522,786910338.828,786542795.289,786571718.966,786901224.89,4.0,26132596672.1,0.249990803752,1.0406674226900002e-12,58,0.25,0.249333333333,0.0155827601005
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,765615684.098,162527.371209,765602107.007,765812054.636,765446467.743,765458350.059,765792026.065,4.0,26415146392.1,0.250009196248,1.0406674226900002e-12,63,0.25,0.249333333333,0.0155839065661
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,744573820.784,189008.12863,744588613.684,744787984.24,744330071.529,744364807.197,744762124.311,4.0,35724072688.1,0.250009196248,1.0406674226900002e-12,68,0.25,0.249333333333,0.0155839065661
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,723657416.188,70376.2668843,723640081.998,723757164.037,723592336.717,723598595.156,723740505.085,4.0,4952818940.58,0.125004598124,1.0406674226900002e-12,73,0.25,0.249333333333,0.00779195328306
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,722470510.46,239942.167005,722557335.842,722646869.149,722120501.008,722179292.559,722640172.827,4.0,57572243507.0,0.124986205628,1.0406674226900002e-12,52,0.25,0.249333333333,0.00779080681749
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,716334368.402,439903.887312,716162344.178,716984385.783,716028399.47,716040826.455,716868744.263,4.0,193515430072.0,0.249990803752,1.0406674226900002e-12,57,0.25,0.249333333333,0.0155827601005
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,695191192.375,224629.738123,695136101.517,695491086.643,695001479.823,695006908.121,695452603.831,4.0,50458519249.0,0.250009196248,1.0406674226900002e-12,62,0.25,0.249333333333,0.0155839065661
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,673854943.921,240114.566523,673869354.145,674133905.782,673547161.611,673595470.505,674094243.023,4.0,57655005056.8,0.250009196248,1.0406674226900002e-12,67,0.25,0.249333333333,0.0155839065661
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,652453028.101,307785.711005,652455344.36,652826549.886,652074873.8,652127614.86,652775198.581,4.0,94732043898.7,0.125004598124,1.0406674226900002e-12,72,0.25,0.249333333333,0.00779195328306
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,641102542.899,319198.993846,641089853.105,641478332.239,640752133.146,640781226.244,641441625.264,4.0,101887997672.0,0.249990803752,1.0406674226900002e-12,56,0.25,0.125333333333,0.00783304518423
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,637255447.767,177831.342779,637314050.466,637388210.427,637005479.71,637042341.877,637386509.88,4.0,31623986474.6,0.124986205628,1.0406674226900002e-12,51,0.25,0.125333333333,0.00391623444301
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,619630272.312,322244.453758,619745789.532,619866701.983,619162808.202,619239431.301,619859389.215,4.0,103841487978.0,0.250009196248,1.0406674226900002e-12,61,0.25,0.125333333333,0.00783362148244
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,598372137.745,421142.358899,598506504.915,598711035.654,597764505.497,597864232.618,598691928.834,4.0,177360886459.0,0.250009196248,1.0406674226900002e-12,66,0.25,0.125333333333,0.00783362148244
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,577309584.347,174363.113288,577241476.186,577565477.152,577189907.865,577192752.038,577521768.082,4.0,30402495275.4,0.125004598124,1.0406674226900002e-12,71,0.25,0.125333333333,0.00391681074122
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,564782834.639,284887.039064,564897347.102,564976043.68,564360600.673,564436811.518,564968540.313,4.0,81160625026.9,0.124986205628,1.0406674226900002e-12,79,0.25,0.250666666667,0.00783246888603
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,543590255.212,159344.350474,543608653.292,543764389.08,543379325.186,543410956.896,543743796.217,4.0,25390622027.9,0.249990803752,1.0406674226900002e-12,84,0.25,0.250666666667,0.0156660903685
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,522544262.646,419465.726057,522475177.691,523096129.357,522130565.846,522160364.015,523024880.214,4.0,175951495336.0,0.250009196248,1.0406674226900002e-12,89,0.25,0.250666666667,0.0156672429649
