smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,189513762.465,3756918.99836,189205364.255,194339289.309,185305032.039,185776142.033,193683140.389,4.0,14114440360200.0,3.46688419418e-13,0.250018051845,0.249992724848,0.125226860254,0.0078270161323,56
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,185502712.079,3818831.14455,184628500.503,190546977.683,182206869.627,182312159.41,189917160.954,4.0,14583471310600.0,3.46688419418e-13,0.249981948155,0.250007275152,0.250453720508,0.0156526827331,89
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,176286289.192,3754094.113,177343733.598,179572889.821,170884799.752,171826502.964,179265653.252,4.0,14093222609300.0,3.46688419418e-13,0.250018051845,0.125002976198,0.249546279492,0.00779907001867,72
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,142439000.935,2472294.18955,141804117.236,145885957.869,140261811.398,140392038.21,145374800.838,4.0,6112238559680.0,3.46688419418e-13,0.250018051845,0.250007275152,0.125226860254,0.00782747168739,61
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,136379475.655,6367824.65343,136484599.312,143727054.986,128821649.009,129627107.101,142984671.089,4.0,40549190816900.0,3.46688419418e-13,0.249981948155,0.250007275152,0.250453720508,0.0156526827331,94
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,128579867.751,3365165.06075,128071477.384,133055456.216,125121060.021,125435381.7,132436100.316,4.0,11324335886100.0,3.46688419418e-13,0.250018051845,0.12498974865,0.125226860254,0.00391330099566,51
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,117460898.017,2705203.6573,116976471.495,121087495.803,114803153.274,115009657.212,120590335.953,4.0,7318126827490.0,3.46688419418e-13,0.249981948155,0.249992724848,0.249546279492,0.0155950624366,83
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,103924374.132,4972453.45598,105384290.743,107877639.829,97051275.213,98019695.3105,107785169.698,4.0,24725293371900.0,3.46688419418e-13,0.124990974078,0.12498974865,0.125226860254,0.00195636794902,105
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,103637287.268,5840628.46786,101494087.153,112101917.751,99459057.0147,99550999.3002,110724055.396,4.0,34112940899600.0,3.46688419418e-13,0.249981948155,0.12498974865,0.249546279492,0.0077971186374,78
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,97974220.7062,2526311.23834,98096478.3781,100356613.175,95347312.894,95488432.032,100288848.64,4.0,6382248472940.0,3.46688419418e-13,0.250018051845,0.250007275152,0.125226860254,0.00782747168739,66
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,89905693.6696,3323576.36259,88855361.7241,94663031.1754,87249020.0545,87371770.2446,93910081.8181,4.0,11046159838000.0,3.46688419418e-13,0.249981948155,0.125002976198,0.250453720508,0.00782629995845,99
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,73024262.2302,3030371.41798,73255631.1194,76381962.1285,69203824.5537,69678589.5557,76046018.46,4.0,9183150930890.0,3.46688419418e-13,0.249981948155,0.250007275152,0.249546279492,0.0155959701145,88
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,59321305.5365,4879267.04838,59265434.5728,64145660.1506,54608692.8499,54767075.1458,63953755.2765,4.0,23807246929400.0,3.46688419418e-13,0.124990974078,0.249992724848,0.125226860254,0.00391294293863,110
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,52838221.501,2547311.48666,52328969.709,56370243.9832,50324702.6029,50583617.7766,55805777.7343,4.0,6488795810080.0,3.46688419418e-13,0.250018051845,0.125002976198,0.125226860254,0.00391371513664,71
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,29562511.8652,3984086.84133,31064378.344,32422528.8569,23698761.9159,24725346.8214,32297063.8386,4.0,15872947959300.0,3.46688419418e-13,0.249981948155,0.250007275152,0.249546279492,0.0155959701145,93
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,14493474.1183,8643808.25469,17398543.3391,21021505.3465,2155304.44872,4067965.32476,20851886.0029,4.0,74715421143900.0,3.46688419418e-13,0.124990974078,0.250007275152,0.125226860254,0.00391317068328,115
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-13748653.7623,3483353.63503,-13877961.0522,-9958801.3855,-17279891.559,-17097124.4236,-10219152.8949,4.0,12133752546700.0,3.46688419418e-13,0.249981948155,0.249992724848,0.249546279492,0.0155950624366,82
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-15585970.7947,3798617.00594,-15279485.0707,-11264655.9968,-20520257.0407,-19764078.2044,-11836943.3987,4.0,14429491157800.0,3.46688419418e-13,0.249981948155,0.125002976198,0.249546279492,0.00779794379918,98
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-30734946.1746,4092774.23444,-31809771.0387,-24915171.7468,-34405070.8742,-34098092.704,-25867044.8355,4.0,16750800934100.0,3.46688419418e-13,0.124990974078,0.250007275152,0.125226860254,0.00391317068328,120
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-52695011.0414,6090938.80069,-51520562.0194,-46635219.4491,-61103700.6778,-59778118.7123,-47256132.0014,4.0,37099535473700.0,3.46688419418e-13,0.249981948155,0.12498974865,0.249546279492,0.0077971186374,77
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-55616088.7993,4270939.12591,-55701040.7735,-51076697.2728,-59985576.3773,-59753822.5664,-51359422.2682,4.0,18240921017200.0,3.46688419418e-13,0.249981948155,0.250007275152,0.249546279492,0.0155959701145,87
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-66497141.0959,3866831.32214,-66004164.7777,-62590797.8032,-71389437.025,-70822979.0045,-62861470.0328,4.0,14952384473900.0,3.46688419418e-13,0.124990974078,0.249992724848,0.250453720508,0.00782588587727,109
