smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-682896260.044,283642.326498,-682896260.044,-682695694.632,-683096825.457,-683076768.915,-682715751.173,2.0,80452969381.2,113,3.66466187075e-13,0.00779743498747,0.249546279492,0.125003845369,0.249963898917
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-690619166.388,78700.4317633,-690619166.388,-690563516.779,-690674815.997,-690669251.036,-690569081.74,2.0,6193757959.73,33,3.66466187075e-13,0.0156507031859,0.250453720508,0.249993707579,0.249963898917
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-730452797.442,30345.0403546,-730452797.442,-730431340.258,-730474254.626,-730472108.907,-730433485.976,2.0,920821474.122,58,3.66466187075e-13,0.0156514910523,0.250453720508,0.250006292421,0.249963898917
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-769479477.642,307946.872309,-769479477.642,-769261726.32,-769697228.964,-769675453.832,-769283501.453,2.0,94831276165.0,83,3.66466187075e-13,0.0156514910523,0.250453720508,0.250006292421,0.249963898917
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-809240870.337,519838.79746,-809240870.337,-808873288.798,-809608451.876,-809571693.722,-808910046.952,2.0,270232375345.0,108,3.66466187075e-13,0.00782578929651,0.250453720508,0.125003845369,0.249963898917
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-822572210.058,310828.106886,-822572210.058,-822352421.396,-822791998.72,-822770019.854,-822374400.262,2.0,96614112030.2,28,3.66466187075e-13,0.00782535159296,0.125226860254,0.249993707579,0.249963898917
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-822685916.275,261605.195174,-822685916.275,-822500933.467,-822870899.082,-822852400.802,-822519431.748,2.0,68437278142.1,3,3.66466187075e-13,0.00391245694471,0.125226860254,0.12498986221,0.249963898917
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-864125145.573,680984.084921,-864125145.573,-863643617.109,-864606674.038,-864558521.191,-863691769.955,2.0,463739323915.0,53,3.66466187075e-13,0.00782574552616,0.125226860254,0.250006292421,0.249963898917
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-902925680.547,890253.306134,-902925680.547,-902296176.397,-903555184.697,-903492234.282,-902359126.812,2.0,792550949082.0,78,3.66466187075e-13,0.00782574552616,0.125226860254,0.250006292421,0.249963898917
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-940101644.467,259909.050941,-940101644.467,-939917861.014,-940285427.919,-940267049.574,-939936239.359,2.0,67552714761.3,19,3.66466187075e-13,0.00779768877217,0.249546279492,0.12498986221,0.25
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-943051503.881,410923.42654,-943051503.881,-942760937.139,-943342070.622,-943313013.948,-942789993.814,2.0,168858062479.0,103,3.66466187075e-13,0.00391289464826,0.125226860254,0.125003845369,0.249963898917
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-979746322.579,764848.506106,-979746322.579,-979205493.014,-980287152.145,-980233069.188,-979259575.971,2.0,584993237292.0,44,3.66466187075e-13,0.0155962499057,0.249546279492,0.249993707579,0.25
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1019337492.08,744349.781441,-1019337492.08,-1018811157.3,-1019863826.86,-1019811193.38,-1018863790.78,2.0,554056597131.0,69,3.66466187075e-13,0.0155970350308,0.249546279492,0.250006292421,0.25
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1058438429.41,49771.3917805,-1058438429.41,-1058403235.72,-1058473623.1,-1058470103.73,-1058406755.09,2.0,2477191439.77,94,3.66466187075e-13,0.0155970350308,0.249546279492,0.250006292421,0.25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1091257695.55,63704.6244248,-1091257695.55,-1091212649.58,-1091302741.52,-1091298236.93,-1091217154.18,2.0,4058279173.1,14,3.66466187075e-13,0.00779768877217,0.249546279492,0.12498986221,0.25
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1098592358.16,613723.100168,-1098592358.16,-1098158390.4,-1099026325.93,-1098982929.15,-1098201787.17,2.0,376656043680.0,119,3.66466187075e-13,0.00779856113348,0.249546279492,0.125003845369,0.25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1110845582.06,272803.647039,-1110845582.06,-1110652680.75,-1111038483.37,-1111019193.23,-1110671970.88,2.0,74421829837.5,39,3.66466187075e-13,0.0155962499057,0.249546279492,0.249993707579,0.25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1150171491.01,564158.788292,-1150171491.01,-1149772570.5,-1150570411.51,-1150530519.46,-1149812462.56,2.0,318275138407.0,64,3.66466187075e-13,0.0155970350308,0.249546279492,0.250006292421,0.25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1189836859.3,72481.6020695,-1189836859.3,-1189785607.06,-1189888111.53,-1189882986.31,-1189790732.29,2.0,5253582638.56,89,3.66466187075e-13,0.0155970350308,0.249546279492,0.250006292421,0.25
