smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-htse_capacity
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,243364789.73,3679883.48645,243364789.73,245966860.297,240762719.162,241022926.219,245706653.24,2.0,13541542473900.0,0.0155946083013,1.83230531396e-13,0.250003495741,0.249963898917,88,0.249546279492
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,236237530.457,151657.164356,236237530.457,236344768.266,236130292.648,236141016.429,236334044.486,2.0,22999895500.4,0.00779801591193,1.83230531396e-13,0.124995105963,0.25,19,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,218003670.502,3431060.84982,218003670.502,220429796.896,215577544.108,215820156.748,220187184.256,2.0,11772178555200.0,0.0156513159678,1.83230531396e-13,0.250003495741,0.249963898917,58,0.250453720508
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,174068123.415,2958900.63092,174068123.415,176160382.116,171975864.714,172185090.584,175951156.246,2.0,8755092943660.0,0.0078254391352,1.83230531396e-13,0.249996504259,0.249963898917,28,0.125226860254
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,170496674.39,1941688.95857,170496674.39,171869655.819,169123692.96,169260991.103,171732357.677,2.0,3770156011850.0,0.00779728234506,1.83230531396e-13,0.125001398296,0.249963898917,113,0.249546279492
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,161532933.113,5247209.98502,161532933.113,165243270.876,157822595.35,158193629.127,164872237.1,2.0,27533212626900.0,0.015596424381,1.83230531396e-13,0.249996504259,0.25,44,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,147287926.751,3777432.57791,147287926.751,149958974.942,144616878.559,144883983.378,149691870.123,2.0,14268996880600.0,0.00391262108568,1.83230531396e-13,0.124995105963,0.249963898917,3,0.125226860254
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,143197098.095,1717702.12171,143197098.095,144411696.913,141982499.276,142103959.158,144290237.031,2.0,2950500578910.0,0.0156513159678,1.83230531396e-13,0.250003495741,0.249963898917,83,0.250453720508
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,92754730.9138,862888.738293,92754730.9138,93364885.392,92144576.4355,92205591.8834,93303869.9442,2.0,744576974672.0,0.00782565798392,1.83230531396e-13,0.250003495741,0.249963898917,53,0.125226860254
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,86109399.1582,1474188.72091,86109399.1582,87151807.9995,85066990.3169,85171231.2011,87047567.1154,2.0,2173232384850.0,0.0155968605555,1.83230531396e-13,0.250003495741,0.25,69,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,68526992.7166,509636.110192,68526992.7166,68887359.866,68166625.5671,68202662.2821,68851323.1511,2.0,259728964812.0,0.00782563609905,1.83230531396e-13,0.125001398296,0.249963898917,108,0.250453720508
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,64022520.072,922757.258315,64022520.072,64675007.9867,63370032.1572,63435280.9487,64609759.1952,2.0,851480957774.0,0.00779801591193,1.83230531396e-13,0.124995105963,0.25,14,0.249546279492
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,45962229.4473,4438874.09902,45962229.4473,49100987.4236,42823471.4711,43137347.2687,48787111.6259,2.0,19703603266900.0,0.015596424381,1.83230531396e-13,0.249996504259,0.25,39,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,30677090.6012,2343471.69667,30677090.6012,32334175.3294,29020005.8729,29185714.3458,32168466.8566,2.0,5491859593070.0,0.00195687562387,1.83230531396e-13,0.124995105963,0.125018050542,25,0.125226860254
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,17216784.4148,990225.055268,17216784.4148,17916979.2663,16516589.5633,16586609.0485,17846959.7811,2.0,980545660080.0,0.00782565798392,1.83230531396e-13,0.250003495741,0.249963898917,78,0.125226860254
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,9350166.89233,8207205.13427,9350166.89233,15153537.2974,3546796.4873,4127133.52781,14573200.2569,2.0,67358216116000.0,0.0155968605555,1.83230531396e-13,0.250003495741,0.25,94,0.249546279492
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-28205712.5171,3373855.74693,-28205712.5171,-25820036.2397,-30591388.7945,-30352821.1668,-26058603.8675,2.0,11382902601100.0,0.0155968605555,1.83230531396e-13,0.250003495741,0.25,64,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-54107714.7751,7325511.62118,-54107714.7751,-48927795.8321,-59287633.7181,-58769641.8238,-49445787.7264,2.0,53663120512000.0,0.00391384975812,1.83230531396e-13,0.249996504259,0.125018050542,50,0.125226860254
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-57784687.8386,208381.118494,-57784687.8386,-57637340.1367,-57932035.5406,-57917300.7704,-57652074.9069,2.0,43422690544.9,0.00391281804952,1.83230531396e-13,0.125001398296,0.249963898917,103,0.125226860254
