npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2808203475.49,288640.256414,2808203475.49,2808407574.98,2807999376.01,2808019785.96,2808387165.03,2.0,83313197622.6,31,0.25,0.00781233727318,1.17734560967e-13,0.249994792742,0.125
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2786748303.78,1011469.6772,2786748303.78,2787463520.85,2786033086.72,2786104608.42,2787391999.14,2.0,1023070907890.0,26,0.25,0.00390603549646,1.17734560967e-13,0.124993135887,0.125
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2752451057.27,2799610.48096,2752451057.27,2754430680.83,2750471433.72,2750669396.07,2754232718.47,2.0,7837818845100.0,36,0.25,0.00781263314013,1.17734560967e-13,0.250004260484,0.125
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2701403694.82,5220030.06972,2701403694.82,2705094813.48,2697712576.16,2698081688.02,2704725701.61,2.0,27248713928800.0,41,0.25,0.00781266272682,1.17734560967e-13,0.250005207258,0.125
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2639957460.16,1530300.19863,2639957460.16,2641039545.81,2638875374.52,2638983583.08,2640931337.25,2.0,2341818697920.0,46,0.25,0.00390633136341,1.17734560967e-13,0.125002603629,0.125
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2497270835.66,6903266.27896,2497270835.66,2502152182.06,2492389489.26,2492877623.9,2501664047.42,2.0,47655085318200.0,57,0.25,0.0156246745464,1.17734560967e-13,0.249994792742,0.25
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2482283743.37,7609147.21296,2482283743.37,2487664222.96,2476903263.77,2477441311.73,2487126175.0,2.0,57899121308500.0,52,0.25,0.00781207099292,1.17734560967e-13,0.124993135887,0.25
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2441864771.76,2068288.75067,2441864771.76,2443327272.76,2440402270.76,2440548520.86,2443181022.66,2.0,4277818356150.0,62,0.25,0.0156252662803,1.17734560967e-13,0.250004260484,0.25
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2378441133.13,1077939.94833,2378441133.13,2379203351.78,2377678914.49,2377755136.35,2379127129.92,2.0,1161954532210.0,67,0.25,0.0156253254536,1.17734560967e-13,0.250005207258,0.25
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2350965396.51,1078981.66645,2350965396.51,2351728351.76,2350202441.26,2350278736.78,2351652056.24,2.0,1164201436530.0,56,0.25,0.00781233727318,1.17734560967e-13,0.249994792742,0.125
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2322248981.29,971655.071483,2322248981.29,2322936045.18,2321561917.4,2321630623.79,2322867338.79,2.0,944113577939.0,72,0.25,0.00781266272682,1.17734560967e-13,0.125002603629,0.25
